;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
49;vasco;Robson Bambu;5;158;0;5;0;3;2;0;0;0;0;7;0;41;4;11;0;0;0;0;1;0
50;goias;Everton Morelli;5;156;0;9;0;2;1;1;0;0;5;1;0;7;5;12;2;0;0;10;0;0
51;bahia;Rezende;4;156;0;4;0;5;1;0;0;0;0;1;0;25;4;5;0;0;0;0;0;0
52;goias;Dieguinho;5;155;0;6;9;3;4;2;0;0;7;2;0;7;3;14;0;0;0;19;1;0
53;sao-paulo;Beraldo;3;154;0;1;0;3;0;0;0;0;0;6;0;27;1;1;0;0;0;0;0;0
54;palmeiras;Mayke;3;154;1;1;4;2;0;0;1;1;5;1;0;10;8;0;0;0;0;1;2;0
55;cruzeiro;Bruno Rodrigues;5;151;9;4;4;0;7;3;2;0;8;0;0;3;6;9;2;1;0;29;0;0
56;palmeiras;Artur;5;149;6;3;2;2;3;2;2;0;6;0;0;9;3;5;0;0;0;15;0;0
57;santos;Lucas Pires;4;148;0;7;1;3;3;0;0;0;2;2;0;15;2;9;2;0;0;5;0;0
58;fortaleza;Emanuel Brítez;5;148;0;7;0;0;0;0;0;1;1;5;0;32;6;4;1;0;0;2;4;1
59;fortaleza;Tinga;5;147;1;10;2;3;1;2;0;0;3;2;0;27;3;1;1;0;0;6;0;0
60;internacional;Carlos de Pena;5;146;2;4;5;3;0;1;1;0;4;0;0;17;3;1;0;0;0;6;1;0
